"Date","#1","#2","#3","#4","#5","#6","S1","S2"
"28/09/19","4","11","18","20","22","41","12","44"
"21/09/19","14","29","32","33","40","43","12","24"
"14/09/19","7","20","27","38","39","41","9","43"
"07/09/19","1","8","10","14","23","36","7","15"
"31/08/19","7","14","15","17","36","41","20","24"
"24/08/19","4","9","10","11","32","33","23","29"
"17/08/19","6","19","23","24","28","35","29","38"
"10/08/19","1","6","9","37","38","39","11","45"
"03/08/19","3","5","28","32","38","44","25","27"
"27/07/19","11","13","23","27","35","38","5","8"
"20/07/19","2","8","12","18","30","42","14","39"
"13/07/19","5","16","18","22","36","41","1","7"
"06/07/19","15","18","23","30","41","44","1","5"
"29/06/19","5","14","21","33","35","42","7","40"
"22/06/19","5","10","11","12","29","41","13","21"
"15/06/19","8","18","24","39","41","42","5","16"
"08/06/19","1","22","24","36","39","42","12","41"
"01/06/19","6","9","20","25","27","31","2","36"
"25/05/19","1","11","18","29","35","44","28","38"
"18/05/19","2","6","8","36","39","45","5","13"
"11/05/19","17","27","28","32","34","44","8","22"
"04/05/19","7","8","23","24","27","33","15","41"
"27/04/19","1","16","21","26","39","41","2","6"
"20/04/19","9","14","16","18","20","36","7","19"
"13/04/19","16","18","19","21","22","25","4","41"
"06/04/19","4","8","10","12","38","39","6","13"
"30/03/19","5","8","26","27","31","33","11","22"
"23/03/19","9","29","32","33","37","39","11","27"
"16/03/19","1","8","12","15","31","42","32","36"
"09/03/19","16","17","21","27","29","43","37","40"
"02/03/19","5","10","38","39","40","43","4","24"
"23/02/19","13","19","20","21","25","37","27","33"
"16/02/19","18","19","26","27","38","43","15","22"
"09/02/19","9","11","13","16","17","21","33","38"
"02/02/19","1","5","12","21","24","45","2","15"
"26/01/19","8","18","19","36","38","42","4","39"
"19/01/19","8","10","11","15","26","45","28","37"
"12/01/19","5","11","15","23","35","45","17","43"
"05/01/19","3","18","20","24","26","34","32","42"
"29/12/18","2","9","17","30","33","39","22","41"
"22/12/18","5","9","14","29","41","43","15","37"
"15/12/18","23","28","32","33","35","39","5","42"
"08/12/18","2","6","23","25","26","43","7","9"
"01/12/18","5","24","25","27","31","38","18","20"
"24/11/18","7","10","20","24","29","37","32","42"
"17/11/18","6","18","19","26","30","31","16","25"
"10/11/18","1","21","22","23","38","44","17","20"
"03/11/18","3","5","12","14","35","36","15","42"
"27/10/18","9","13","16","17","32","37","6","14"
"20/10/18","5","14","15","38","42","45","8","22"
"13/10/18","3","6","10","34","37","40","15","18"
"06/10/18","1","2","7","22","34","40","15","26"
"29/09/18","2","9","10","13","16","25","17","19"
"22/09/18","9","21","26","29","32","44","2","28"
"15/09/18","1","3","7","15","44","45","26","34"
"08/09/18","19","22","24","25","42","43","4","14"
"01/09/18","5","10","14","16","36","43","18","19"
"25/08/18","5","15","18","29","31","35","9","36"
"18/08/18","6","17","19","26","37","38","2","10"
"11/08/18","1","8","15","20","23","44","11","18"
"04/08/18","12","14","24","25","35","38","36","39"
"28/07/18","21","27","29","31","37","40","6","11"
"21/07/18","2","4","14","15","16","24","18","33"
"14/07/18","6","11","12","32","40","45","10","20"
"07/07/18","1","6","18","23","29","43","3","35"
"30/06/18","1","14","20","25","26","40","3","24"
"23/06/18","9","10","18","31","35","41","16","26"
"16/06/18","2","8","12","22","26","45","1","38"
"09/06/18","7","10","22","25","26","36","30","43"
"02/06/18","7","14","17","19","24","37","2","23"
"26/05/18","10","21","25","29","38","40","7","22"
"19/05/18","6","9","21","33","39","42","19","40"
"12/05/18","6","12","14","17","31","38","32","34"
"05/05/18","10","22","28","34","42","45","3","11"
"28/04/18","13","29","33","35","38","43","15","41"
"21/04/18","11","12","17","31","42","44","3","19"
"14/04/18","7","9","10","17","18","38","20","35"
"07/04/18","6","7","8","17","23","35","29","30"
"31/03/18","8","15","23","27","43","44","11","35"
"24/03/18","10","19","23","30","33","39","17","34"
"17/03/18","26","32","33","35","38","41","27","45"
"10/03/18","2","4","22","31","34","44","25","27"
"03/03/18","2","21","29","35","36","45","40","44"
"24/02/18","1","5","14","15","19","30","20","28"
"17/02/18","3","8","13","30","31","35","17","25"
"10/02/18","2","7","16","23","27","44","25","28"
"03/02/18","11","12","13","23","24","27","22","31"
"27/01/18","1","4","7","11","32","40","26","29"
"20/01/18","2","5","9","14","31","34","7","13"
"13/01/18","1","6","16","19","36","45","5","11"
"06/01/18","3","12","31","32","35","44","13","14"
"30/12/17","6","9","27","30","35","37","4","14"
"23/12/17","8","11","13","21","23","34","24","42"
"16/12/17","1","5","26","28","39","45","12","44"
"09/12/17","14","17","28","30","34","36","44","45"
"02/12/17","8","14","16","23","25","44","2","9"
"25/11/17","4","6","18","31","36","44","1","10"
"18/11/17","6","19","26","28","40","42","33","36"
"11/11/17","18","19","27","30","38","43","16","21"
"04/11/17","4","7","17","22","26","30","41","44"
"28/10/17","1","13","17","38","40","44","22","31"
"21/10/17","13","22","30","34","42","45","39","44"
"14/10/17","6","13","18","25","34","39","9","42"
"07/10/17","7","13","15","18","31","34","17","27"
"30/09/17","1","19","20","22","32","34","3","33"
"23/09/17","6","8","13","40","44","45","2","16"
"16/09/17","5","10","20","29","41","45","7","26"
"09/09/17","12","21","28","35","40","42","4","9"
"02/09/17","16","17","21","22","23","44","2","30"
"26/08/17","11","15","20","27","38","45","18","42"
"19/08/17","3","9","23","30","39","45","7","17"
"12/08/17","7","11","14","16","26","45","34","35"
"05/08/17","1","7","11","20","21","32","22","26"
"29/07/17","28","30","31","34","42","43","4","25"
"22/07/17","11","22","27","32","42","44","7","39"
"15/07/17","1","11","22","25","41","44","9","23"
"08/07/17","11","18","22","24","26","33","19","28"
"01/07/17","6","10","18","19","32","36","1","13"
"24/06/17","1","5","13","29","32","43","38","40"
"17/06/17","5","19","25","30","33","34","1","2"
"10/06/17","12","14","20","22","24","44","6","32"
"03/06/17","9","21","27","30","32","35","20","31"
"27/05/17","15","17","18","24","42","45","35","36"
"20/05/17","6","10","11","15","29","33","5","25"
"13/05/17","1","16","21","30","35","40","2","7"
"06/05/17","8","9","16","26","39","41","28","31"
"29/04/17","3","10","23","29","34","37","1","24"
"22/04/17","11","13","18","21","24","30","15","27"
"15/04/17","3","15","26","32","40","44","16","41"
"08/04/17","3","7","25","27","32","38","21","28"
"01/04/17","16","20","24","32","34","37","4","45"
"25/03/17","16","20","23","28","35","39","4","27"
"18/03/17","1","10","15","23","36","43","2","34"
"11/03/17","1","10","15","31","36","39","11","32"
"04/03/17","9","12","15","18","28","34","1","44"
"25/02/17","7","22","29","33","36","44","5","45"
"18/02/17","21","25","28","30","33","37","3","36"
"11/02/17","3","18","41","42","43","45","2","21"
"04/02/17","4","16","22","34","36","38","3","26"
"28/01/17","6","10","19","28","37","40","8","33"
"21/01/17","14","17","30","37","41","43","5","38"
"14/01/17","9","12","21","22","30","41","20","27"
"07/01/17","7","19","20","22","40","41","5","35"
"31/12/16","4","11","16","18","31","40","17","38"
"24/12/16","4","5","9","24","34","39","15","29"
"17/12/16","8","17","18","29","36","42","11","33"
"10/12/16","5","20","25","33","34","36","27","42"
"03/12/16","10","11","18","26","39","44","15","16"
"26/11/16","18","19","27","29","38","45","32","35"
"19/11/16","1","12","14","16","24","40","20","31"
"12/11/16","1","3","12","18","22","38","34","40"
"05/11/16","9","23","24","34","38","43","13","37"
"29/10/16","15","20","23","33","39","42","22","36"
"22/10/16","16","22","35","37","39","42","29","43"
"15/10/16","2","8","21","22","31","40","28","30"
"08/10/16","2","3","6","21","26","38","22","35"
"01/10/16","6","14","22","26","35","37","10","31"
"24/09/16","11","12","18","25","34","45","13","37"
"17/09/16","3","8","9","12","18","27","4","39"
"10/09/16","5","7","9","13","18","27","25","42"
"03/09/16","7","23","28","32","36","40","39","41"
"27/08/16","4","5","13","18","25","34","23","31"
"20/08/16","8","16","23","34","42","45","3","44"
"13/08/16","11","14","16","37","41","45","1","32"
"06/08/16","6","12","15","19","23","31","8","22"
"30/07/16","27","32","33","37","40","45","22","38"
"23/07/16","4","7","10","15","22","32","6","38"
"16/07/16","1","3","7","12","24","32","2","10"
"09/07/16","13","17","21","25","33","38","11","18"
"02/07/16","5","12","16","20","31","41","10","29"
"25/06/16","4","7","10","17","28","31","12","23"
"18/06/16","1","2","13","20","39","44","4","7"
"11/06/16","4","10","25","32","39","45","22","26"
"04/06/16","3","12","26","27","38","43","16","44"
"28/05/16","1","21","34","35","37","42","11","26"
