"Date","#1","#2","#3","#4","#5","#6","S1","S2"
"19/03/11","2","6","7","8","18","21","11","24"
"12/03/11","4","13","17","21","38","40","18","32"
"05/03/11","12","19","22","26","32","33","1","8"
"26/02/11","1","4","21","23","24","43","10","32"
"19/02/11","1","5","14","23","41","45","2","8"
"12/02/11","4","9","10","26","38","44","23","40"
"05/02/11","5","11","19","30","42","45","18","24"
"29/01/11","2","11","15","19","20","25","1","13"
"22/01/11","3","15","17","21","34","43","16","41"
"15/01/11","10","12","23","26","27","31","4","24"
"08/01/11","5","6","19","23","35","38","18","22"
"31/12/10","10","11","13","19","24","41","3","17"
"25/12/10","4","11","12","22","29","38","30","41"
"18/12/10","4","13","25","26","42","44","15","22"
"11/12/10","10","16","18","26","32","33","12","19"
"04/12/10","9","10","12","13","39","43","1","31"
"27/11/10","2","12","15","24","35","37","5","40"
"20/11/10","7","19","21","25","38","42","27","32"
"13/11/10","14","15","26","27","35","41","23","38"
"06/11/10","15","24","25","28","30","39","7","45"
"30/10/10","4","6","7","27","31","45","15","20"
"23/10/10","12","23","31","34","39","43","1","9"
"16/10/10","15","19","28","36","39","41","11","34"
"09/10/10","1","11","24","26","32","36","8","14"
"02/10/10","8","9","29","33","37","42","1","3"
"25/09/10","12","22","24","26","31","38","19","29"
"18/09/10","7","18","31","35","40","44","15","38"
"11/09/10","5","11","15","36","42","44","1","4"
"04/09/10","1","20","28","35","36","44","3","21"
"28/08/10","3","9","11","29","30","34","10","38"
"21/08/10","1","8","11","16","31","38","15","33"
"14/08/10","2","12","13","29","31","40","21","25"
"07/08/10","5","28","35","39","40","41","21","36"
"31/07/10","4","14","25","35","41","43","6","28"
"24/07/10","6","13","16","24","30","33","34","43"
"17/07/10","2","11","17","19","39","40","14","20"
"10/07/10","17","23","30","38","40","42","15","24"
"03/07/10","1","6","10","15","26","40","4","36"
"26/06/10","2","5","10","22","37","38","21","23"
"19/06/10","5","11","13","16","25","29","37","43"
"12/06/10","1","7","11","21","23","43","20","35"
"05/06/10","5","13","24","26","28","41","20","25"
"29/05/10","2","12","19","22","30","40","11","39"
"22/05/10","7","8","16","17","27","40","11","43"
